날짜,요일,시간대,메뉴,카테고리,온도,가격,계절,날씨,특별한날
2024-02-03,토,점심(11-14시),카푸치노,커피,ICED,5000,겨울,맑음,-
2024-09-10,화,아침(09-11시),카푸치노,커피,HOT,5000,가을,맑음,-
2024-04-20,토,오후(14-17시),치즈케이크,디저트,-,6500,봄,맑음,-
2024-04-18,목,점심(11-14시),초콜릿라떼,논커피,HOT,6300,봄,맑음,-
2024-08-25,일,오후(14-17시),녹차라떼,논커피,ICED,6000,여름,맑음,-
2024-02-04,일,오후(14-17시),바닐라라떼,커피,HOT,6500,겨울,비,-
2024-06-15,토,오후(14-17시),아메리카노,커피,HOT,4500,여름,맑음,-
2024-07-15,월,오후(14-17시),아메리카노,커피,ICED,4500,여름,맑음,-
2024-04-26,금,오후(14-17시),바닐라라떼,커피,HOT,5500,봄,비,-
2024-03-17,일,오후(14-17시),아메리카노,커피,HOT,5500,봄,맑음,-
2024-01-09,화,오후(14-17시),카라멜마끼아또,커피,ICED,5800,겨울,맑음,-
2024-06-23,일,점심(11-14시),녹차라떼,논커피,ICED,5500,여름,흐림,-
2024-07-31,수,저녁(17-20시),딸기스무디,논커피,ICED,6500,여름,흐림,-
2024-10-08,화,오후(14-17시),카푸치노,커피,ICED,5000,가을,비,-
2024-05-15,수,밤(20-22시),얼그레이,차,ICED,5000,봄,맑음,-
2024-11-02,토,오후(14-17시),아메리카노,커피,HOT,5500,가을,맑음,-
2024-11-15,금,점심(11-14시),캐모마일,차,HOT,4500,가을,흐림,-
2024-07-09,화,오후(14-17시),크로와상,디저트,-,4300,여름,맑음,-
2024-10-21,월,점심(11-14시),망고스무디,논커피,ICED,6500,가을,맑음,-
2024-02-14,수,오후(14-17시),아메리카노,커피,HOT,4500,겨울,눈,밸런타인데이
2024-04-24,수,밤(20-22시),초콜릿라떼,논커피,ICED,5800,봄,흐림,-
2024-05-11,토,저녁(17-20시),초콜릿라떼,논커피,ICED,6300,봄,맑음,-
2024-01-13,토,오후(14-17시),녹차라떼,논커피,HOT,5500,겨울,맑음,-
2024-09-10,화,아침(09-11시),녹차라떼,논커피,ICED,6000,가을,맑음,-
2024-05-17,금,저녁(17-20시),아메리카노,커피,ICED,4500,봄,맑음,-
2024-03-27,수,아침(09-11시),아메리카노,커피,HOT,4500,봄,맑음,-
2024-01-21,일,아침(09-11시),카푸치노,커피,HOT,5000,겨울,눈,-
2024-11-04,월,점심(11-14시),크로와상,디저트,-,4300,가을,맑음,-
2024-04-29,월,아침(09-11시),카페라떼,커피,HOT,5000,봄,맑음,-
2024-07-15,월,아침(09-11시),티라미수,디저트,-,7800,여름,맑음,-
2024-02-25,일,밤(20-22시),카페라떼,커피,HOT,6000,겨울,맑음,-
2024-01-12,금,점심(11-14시),카페라떼,커피,HOT,5500,겨울,맑음,-
2024-04-27,토,오후(14-17시),마카롱,디저트,-,4000,봄,흐림,-
2024-07-20,토,저녁(17-20시),바닐라라떼,커피,HOT,5500,여름,맑음,-
2024-10-09,수,아침(09-11시),크로와상,디저트,-,4300,가을,흐림,-
2024-01-19,금,아침(09-11시),바닐라라떼,커피,HOT,5500,겨울,맑음,-
2024-09-14,토,아침(09-11시),치즈케이크,디저트,-,6500,가을,맑음,-
2024-07-11,목,점심(11-14시),카푸치노,커피,ICED,5000,여름,맑음,-
2024-07-05,금,저녁(17-20시),아메리카노,커피,HOT,4500,여름,흐림,-
2024-11-09,토,저녁(17-20시),카페라떼,커피,HOT,5000,가을,맑음,-
2024-11-27,수,저녁(17-20시),바닐라라떼,커피,HOT,5500,가을,맑음,-
2024-03-25,월,점심(11-14시),카페라떼,커피,HOT,5000,봄,맑음,-
2024-05-07,화,저녁(17-20시),바닐라라떼,커피,HOT,6000,봄,비,-
2024-12-01,일,점심(11-14시),카페라떼,커피,HOT,5000,겨울,눈,-
2024-04-13,토,점심(11-14시),딸기스무디,논커피,ICED,6500,봄,맑음,-
2024-01-06,토,오후(14-17시),크로와상,디저트,-,4300,겨울,흐림,-
2024-05-10,금,밤(20-22시),카푸치노,커피,HOT,5000,봄,맑음,-
2024-03-08,금,점심(11-14시),카페라떼,커피,HOT,5500,봄,비,-
2024-12-01,일,오후(14-17시),카라멜마끼아또,커피,HOT,5800,겨울,눈,-
2024-04-27,토,점심(11-14시),초콜릿라떼,논커피,HOT,5800,봄,흐림,-
2024-05-30,목,오후(14-17시),크로와상,디저트,-,3800,봄,맑음,-
2024-04-13,토,저녁(17-20시),카페라떼,커피,HOT,5500,봄,맑음,-
2024-11-26,화,아침(09-11시),치즈케이크,디저트,-,7000,가을,흐림,-
2024-07-30,화,오후(14-17시),카라멜마끼아또,커피,ICED,5800,여름,맑음,-
2024-07-07,일,저녁(17-20시),아메리카노,커피,ICED,4500,여름,흐림,-
2024-03-19,화,점심(11-14시),티라미수,디저트,-,7800,봄,맑음,-
2024-06-01,토,아침(09-11시),카라멜마끼아또,커피,HOT,6800,여름,맑음,-
2024-11-09,토,저녁(17-20시),카페라떼,커피,HOT,5000,가을,맑음,-
2024-06-04,화,오후(14-17시),카페라떼,커피,ICED,5000,여름,맑음,-
2024-11-27,수,밤(20-22시),티라미수,디저트,-,6800,가을,맑음,-
2024-01-23,화,오후(14-17시),바닐라라떼,커피,HOT,5500,겨울,맑음,-
2024-07-15,월,아침(09-11시),카푸치노,커피,HOT,5000,여름,맑음,-
2024-07-31,수,저녁(17-20시),카푸치노,커피,ICED,5000,여름,흐림,-
2024-03-22,금,점심(11-14시),티라미수,디저트,-,6800,봄,맑음,-
2024-04-29,월,저녁(17-20시),카페라떼,커피,HOT,5000,봄,맑음,-
2024-02-27,화,오후(14-17시),바닐라라떼,커피,HOT,5500,겨울,맑음,-
2024-10-09,수,점심(11-14시),아메리카노,커피,ICED,4500,가을,흐림,-
2024-06-06,목,오후(14-17시),카라멜마끼아또,커피,ICED,6300,여름,맑음,-
2024-12-14,토,오후(14-17시),마카롱,디저트,-,3500,겨울,맑음,-
2024-01-27,토,저녁(17-20시),치즈케이크,디저트,-,7000,겨울,흐림,-
2024-06-01,토,오후(14-17시),딸기스무디,논커피,ICED,6500,여름,맑음,-
2024-06-25,화,저녁(17-20시),망고스무디,논커피,ICED,6500,여름,맑음,-
2024-10-13,일,아침(09-11시),초콜릿라떼,논커피,ICED,5800,가을,흐림,-
2024-09-17,화,밤(20-22시),카페라떼,커피,ICED,5500,가을,맑음,-
2024-12-23,월,밤(20-22시),카페라떼,커피,ICED,5500,겨울,비,-
2024-02-24,토,아침(09-11시),녹차라떼,논커피,HOT,5500,겨울,흐림,-
2024-06-16,일,오후(14-17시),카페라떼,커피,ICED,6000,여름,맑음,-
2024-07-16,화,점심(11-14시),카라멜마끼아또,커피,ICED,5800,여름,맑음,-
2024-10-13,일,점심(11-14시),초콜릿라떼,논커피,ICED,6300,가을,흐림,-
2024-11-06,수,아침(09-11시),카푸치노,커피,ICED,5000,가을,맑음,-
2024-07-21,일,아침(09-11시),카라멜마끼아또,커피,ICED,6300,여름,맑음,-
2024-04-24,수,저녁(17-20시),카페라떼,커피,HOT,5000,봄,흐림,-
2024-12-15,일,저녁(17-20시),캐모마일,차,HOT,5000,겨울,흐림,-
2024-05-05,일,아침(09-11시),카푸치노,커피,HOT,5000,봄,흐림,-
2024-07-08,월,오후(14-17시),망고스무디,논커피,ICED,6500,여름,흐림,-
2024-05-01,수,밤(20-22시),치즈케이크,디저트,-,6500,봄,흐림,-
2024-03-21,목,점심(11-14시),마카롱,디저트,-,3500,봄,맑음,-
2024-08-09,금,점심(11-14시),아메리카노,커피,ICED,4500,여름,맑음,-
2024-01-27,토,점심(11-14시),망고스무디,논커피,ICED,6500,겨울,흐림,-
2024-03-06,수,아침(09-11시),아메리카노,커피,HOT,4500,봄,맑음,-
2024-02-26,월,저녁(17-20시),카라멜마끼아또,커피,HOT,5800,겨울,흐림,-
2024-11-16,토,아침(09-11시),딸기스무디,논커피,ICED,6500,가을,맑음,-
2024-02-12,월,점심(11-14시),카푸치노,커피,HOT,5000,겨울,흐림,-
2024-02-22,목,오후(14-17시),티라미수,디저트,-,6800,겨울,흐림,-
2024-07-13,토,밤(20-22시),카푸치노,커피,HOT,5000,여름,흐림,-
2024-02-08,목,저녁(17-20시),아메리카노,커피,HOT,5000,겨울,맑음,-
2024-06-01,토,오후(14-17시),초콜릿라떼,논커피,HOT,5800,여름,맑음,-
2024-11-26,화,아침(09-11시),카페라떼,커피,HOT,6000,가을,흐림,-
2024-11-09,토,아침(09-11시),카페라떼,커피,ICED,5500,가을,맑음,-
2024-02-07,수,오후(14-17시),얼그레이,차,HOT,5000,겨울,흐림,-
2024-08-24,토,아침(09-11시),카페라떼,커피,ICED,5000,여름,맑음,-
2024-05-04,토,저녁(17-20시),카페라떼,커피,ICED,5500,봄,흐림,-
2024-03-10,일,점심(11-14시),아메리카노,커피,HOT,4500,봄,맑음,-
2024-01-18,목,아침(09-11시),얼그레이,차,HOT,4500,겨울,맑음,-
2024-03-15,금,아침(09-11시),바닐라라떼,커피,ICED,6000,봄,흐림,-
2024-09-04,수,오후(14-17시),딸기스무디,논커피,ICED,6500,가을,맑음,-
2024-08-10,토,아침(09-11시),카페라떼,커피,ICED,5000,여름,맑음,-
2024-05-15,수,오후(14-17시),크로와상,디저트,-,3800,봄,맑음,-
2024-02-26,월,점심(11-14시),바닐라라떼,커피,HOT,5500,겨울,흐림,-
2024-10-31,목,점심(11-14시),얼그레이,차,HOT,4500,가을,흐림,-
2024-02-02,금,점심(11-14시),아메리카노,커피,HOT,4500,겨울,맑음,-
2024-01-25,목,오후(14-17시),아메리카노,커피,HOT,4500,겨울,눈,-
2024-07-19,금,점심(11-14시),카푸치노,커피,HOT,6000,여름,맑음,-
2024-03-20,수,아침(09-11시),카라멜마끼아또,커피,ICED,5800,봄,맑음,-
2024-06-18,화,저녁(17-20시),아메리카노,커피,ICED,4500,여름,맑음,-
2024-02-18,일,점심(11-14시),치즈케이크,디저트,-,7000,겨울,맑음,-
2024-02-05,월,점심(11-14시),캐모마일,차,HOT,4500,겨울,맑음,-
2024-01-26,금,아침(09-11시),카푸치노,커피,HOT,5500,겨울,맑음,-
2024-09-14,토,저녁(17-20시),아메리카노,커피,HOT,4500,가을,맑음,-
2024-11-18,월,아침(09-11시),카라멜마끼아또,커피,ICED,5800,가을,맑음,-
2024-03-10,일,점심(11-14시),딸기스무디,논커피,ICED,6500,봄,맑음,-
2024-06-15,토,밤(20-22시),딸기스무디,논커피,ICED,7000,여름,맑음,-
2024-03-20,수,밤(20-22시),카푸치노,커피,ICED,5000,봄,맑음,-
2024-02-15,목,점심(11-14시),캐모마일,차,HOT,5500,겨울,맑음,-
2024-08-24,토,오후(14-17시),카페라떼,커피,HOT,5000,여름,맑음,-
2024-12-06,금,오후(14-17시),아메리카노,커피,HOT,4500,겨울,맑음,-
2024-11-01,금,점심(11-14시),카푸치노,커피,ICED,5500,가을,맑음,-
2024-06-04,화,밤(20-22시),아메리카노,커피,ICED,5000,여름,맑음,-
2024-06-01,토,오후(14-17시),바닐라라떼,커피,HOT,5500,여름,맑음,-
2024-10-19,토,오후(14-17시),아메리카노,커피,HOT,5000,가을,흐림,-
2024-02-03,토,저녁(17-20시),카페라떼,커피,HOT,5000,겨울,맑음,-
2024-08-05,월,점심(11-14시),카페라떼,커피,ICED,5000,여름,흐림,-
2024-05-04,토,오후(14-17시),바닐라라떼,커피,HOT,5500,봄,흐림,-
2024-01-22,월,오후(14-17시),카푸치노,커피,HOT,5000,겨울,맑음,-
2024-09-26,목,점심(11-14시),카페라떼,커피,HOT,5000,가을,맑음,-
2024-05-08,수,점심(11-14시),바닐라라떼,커피,ICED,5500,봄,비,어버이날
2024-05-21,화,오후(14-17시),카라멜마끼아또,커피,HOT,5800,봄,맑음,-
2024-09-19,목,오후(14-17시),아메리카노,커피,HOT,4500,가을,흐림,-
2024-06-04,화,아침(09-11시),아메리카노,커피,ICED,4500,여름,맑음,-
2024-11-29,금,아침(09-11시),초콜릿라떼,논커피,ICED,5800,가을,맑음,-
2024-07-22,월,오후(14-17시),아메리카노,커피,ICED,4500,여름,맑음,-
2024-01-06,토,저녁(17-20시),아메리카노,커피,HOT,4500,겨울,흐림,-
2024-04-27,토,밤(20-22시),얼그레이,차,ICED,4500,봄,흐림,-
2024-10-02,수,아침(09-11시),카페라떼,커피,HOT,5000,가을,비,-
2024-09-12,목,아침(09-11시),아메리카노,커피,ICED,4500,가을,비,-
2024-11-15,금,아침(09-11시),카페라떼,커피,HOT,5000,가을,흐림,-
2024-07-12,금,밤(20-22시),초콜릿라떼,논커피,ICED,5800,여름,맑음,-
2024-06-30,일,오후(14-17시),초콜릿라떼,논커피,ICED,6800,여름,흐림,-
2024-10-17,목,점심(11-14시),카페라떼,커피,ICED,5500,가을,맑음,-
2024-04-24,수,오후(14-17시),마카롱,디저트,-,4500,봄,흐림,-
2024-05-10,금,점심(11-14시),망고스무디,논커피,ICED,6500,봄,맑음,-
2024-12-17,화,아침(09-11시),아메리카노,커피,HOT,5000,겨울,맑음,-
2024-12-15,일,저녁(17-20시),아메리카노,커피,HOT,4500,겨울,흐림,-
2024-04-17,수,아침(09-11시),카페라떼,커피,ICED,5500,봄,흐림,-
2024-11-26,화,오후(14-17시),바닐라라떼,커피,HOT,5500,가을,흐림,-
2024-08-11,일,점심(11-14시),아메리카노,커피,ICED,4500,여름,맑음,-
2024-09-16,월,점심(11-14시),카페라떼,커피,HOT,5000,가을,맑음,-
2024-04-07,일,점심(11-14시),치즈케이크,디저트,-,6500,봄,맑음,-
2024-09-07,토,저녁(17-20시),얼그레이,차,HOT,4500,가을,비,-
2024-04-20,토,점심(11-14시),아메리카노,커피,HOT,4500,봄,맑음,-
2024-09-24,화,저녁(17-20시),카라멜마끼아또,커피,HOT,5800,가을,맑음,-
2024-10-04,금,밤(20-22시),카라멜마끼아또,커피,ICED,5800,가을,흐림,-
2024-04-28,일,점심(11-14시),아메리카노,커피,ICED,4500,봄,흐림,-
2024-12-21,토,저녁(17-20시),바닐라라떼,커피,HOT,5500,겨울,맑음,-
2024-05-26,일,점심(11-14시),얼그레이,차,ICED,4500,봄,흐림,-
2024-01-19,금,오후(14-17시),카라멜마끼아또,커피,HOT,5800,겨울,맑음,-
2024-03-20,수,밤(20-22시),치즈케이크,디저트,-,6500,봄,맑음,-
2024-05-26,일,아침(09-11시),아메리카노,커피,HOT,4500,봄,흐림,-
2024-06-21,금,오후(14-17시),크로와상,디저트,-,3800,여름,흐림,-
2024-08-16,금,점심(11-14시),카라멜마끼아또,커피,ICED,6300,여름,비,-
2024-01-20,토,오후(14-17시),마카롱,디저트,-,3500,겨울,맑음,-
2024-02-03,토,점심(11-14시),카페라떼,커피,HOT,5000,겨울,맑음,-
2024-10-17,목,아침(09-11시),카라멜마끼아또,커피,ICED,5800,가을,맑음,-
2024-07-09,화,점심(11-14시),딸기스무디,논커피,ICED,6500,여름,맑음,-
2024-02-26,월,오후(14-17시),카라멜마끼아또,커피,HOT,5800,겨울,흐림,-
2024-05-08,수,오후(14-17시),크로와상,디저트,-,3800,봄,비,어버이날
2024-09-11,수,점심(11-14시),치즈케이크,디저트,-,6500,가을,맑음,-
2024-06-28,금,오후(14-17시),녹차라떼,논커피,ICED,6000,여름,맑음,-
2024-04-13,토,아침(09-11시),카푸치노,커피,ICED,5000,봄,맑음,-
2024-08-16,금,오후(14-17시),녹차라떼,논커피,ICED,5500,여름,비,-
2024-07-23,화,오후(14-17시),딸기스무디,논커피,ICED,7000,여름,흐림,-
2024-02-04,일,점심(11-14시),바닐라라떼,커피,ICED,5500,겨울,비,-
2024-12-04,수,아침(09-11시),초콜릿라떼,논커피,HOT,5800,겨울,맑음,-
2024-12-19,목,오후(14-17시),카페라떼,커피,ICED,5500,겨울,흐림,-
2024-05-17,금,밤(20-22시),카푸치노,커피,ICED,5500,봄,맑음,-
2024-07-31,수,점심(11-14시),카페라떼,커피,ICED,5000,여름,흐림,-
2024-08-10,토,밤(20-22시),얼그레이,차,HOT,4500,여름,맑음,-
2024-07-13,토,오후(14-17시),카페라떼,커피,ICED,5000,여름,흐림,-
2024-11-01,금,점심(11-14시),카페라떼,커피,ICED,5000,가을,맑음,-
2024-05-03,금,아침(09-11시),아메리카노,커피,HOT,4500,봄,흐림,-
2024-07-21,일,저녁(17-20시),아메리카노,커피,HOT,4500,여름,맑음,-
2024-02-25,일,오후(14-17시),아메리카노,커피,HOT,4500,겨울,맑음,-
2024-01-27,토,점심(11-14시),카푸치노,커피,HOT,5000,겨울,흐림,-
2024-04-09,화,아침(09-11시),아메리카노,커피,HOT,4500,봄,맑음,-
2024-03-27,수,저녁(17-20시),초콜릿라떼,논커피,HOT,5800,봄,맑음,-
2024-05-29,수,점심(11-14시),아메리카노,커피,HOT,5000,봄,비,-
2024-11-01,금,저녁(17-20시),아메리카노,커피,HOT,4500,가을,맑음,-
2024-08-26,월,저녁(17-20시),아메리카노,커피,ICED,4500,여름,비,-
2024-08-13,화,저녁(17-20시),딸기스무디,논커피,ICED,7000,여름,비,-
2024-04-09,화,저녁(17-20시),아메리카노,커피,HOT,4500,봄,맑음,-
2024-07-15,월,아침(09-11시),녹차라떼,논커피,ICED,5500,여름,맑음,-
2024-03-02,토,아침(09-11시),아메리카노,커피,HOT,4500,봄,맑음,-
2024-02-18,일,저녁(17-20시),바닐라라떼,커피,ICED,5500,겨울,맑음,-
2024-03-31,일,점심(11-14시),초콜릿라떼,논커피,ICED,5800,봄,비,-
2024-01-25,목,저녁(17-20시),카라멜마끼아또,커피,HOT,5800,겨울,눈,-
2024-01-07,일,아침(09-11시),바닐라라떼,커피,HOT,5500,겨울,흐림,-
2024-05-29,수,오후(14-17시),카라멜마끼아또,커피,HOT,5800,봄,비,-
2024-12-24,화,점심(11-14시),아메리카노,커피,HOT,5500,겨울,비,크리스마스 이브
2024-11-06,수,밤(20-22시),카라멜마끼아또,커피,HOT,5800,가을,맑음,-
2024-06-25,화,오후(14-17시),카페라떼,커피,ICED,5000,여름,맑음,-
2024-11-29,금,오후(14-17시),아메리카노,커피,ICED,5000,가을,맑음,-
2024-04-06,토,오후(14-17시),바닐라라떼,커피,ICED,5500,봄,비,-
2024-03-17,일,점심(11-14시),녹차라떼,논커피,HOT,5500,봄,맑음,-
2024-11-23,토,점심(11-14시),망고스무디,논커피,ICED,6500,가을,맑음,-
2024-03-10,일,밤(20-22시),카페라떼,커피,HOT,5000,봄,맑음,-
2024-12-20,금,오후(14-17시),카페라떼,커피,HOT,5000,겨울,맑음,-
2024-07-02,화,점심(11-14시),바닐라라떼,커피,HOT,6000,여름,맑음,-
2024-04-23,화,오후(14-17시),마카롱,디저트,-,4000,봄,흐림,-
2024-08-11,일,점심(11-14시),카푸치노,커피,ICED,5000,여름,맑음,-
2024-08-25,일,오후(14-17시),아메리카노,커피,ICED,5000,여름,맑음,-
2024-12-04,수,점심(11-14시),카페라떼,커피,HOT,5000,겨울,맑음,-
2024-10-02,수,저녁(17-20시),캐모마일,차,HOT,4500,가을,비,-
2024-09-20,금,아침(09-11시),망고스무디,논커피,ICED,7000,가을,흐림,-
2024-02-18,일,아침(09-11시),카페라떼,커피,ICED,5000,겨울,맑음,-
2024-08-31,토,저녁(17-20시),아메리카노,커피,ICED,4500,여름,맑음,-
2024-10-02,수,오후(14-17시),바닐라라떼,커피,ICED,5500,가을,비,-
2024-02-13,화,아침(09-11시),아메리카노,커피,HOT,4500,겨울,맑음,-
2024-12-25,수,아침(09-11시),바닐라라떼,커피,HOT,5500,겨울,맑음,크리스마스
2024-02-26,월,밤(20-22시),카페라떼,커피,HOT,5000,겨울,흐림,-
2024-01-08,월,점심(11-14시),카페라떼,커피,ICED,5000,겨울,흐림,-
2024-05-03,금,점심(11-14시),아메리카노,커피,HOT,4500,봄,흐림,-
2024-10-28,월,저녁(17-20시),망고스무디,논커피,ICED,6500,가을,흐림,-
2024-07-14,일,점심(11-14시),아메리카노,커피,HOT,4500,여름,맑음,-
2024-11-18,월,오후(14-17시),크로와상,디저트,-,4300,가을,맑음,-
2024-04-07,일,점심(11-14시),마카롱,디저트,-,3500,봄,맑음,-
2024-11-27,수,점심(11-14시),카푸치노,커피,HOT,5000,가을,맑음,-
2024-12-20,금,점심(11-14시),티라미수,디저트,-,6800,겨울,맑음,-
2024-07-21,일,아침(09-11시),바닐라라떼,커피,ICED,5500,여름,맑음,-
2024-07-29,월,점심(11-14시),아메리카노,커피,ICED,4500,여름,맑음,-
2024-12-25,수,아침(09-11시),바닐라라떼,커피,HOT,5500,겨울,맑음,크리스마스
2024-08-22,목,오후(14-17시),크로와상,디저트,-,3800,여름,맑음,-
2024-12-27,금,아침(09-11시),아메리카노,커피,ICED,4500,겨울,맑음,-
2024-04-15,월,아침(09-11시),카페라떼,커피,HOT,6000,봄,흐림,-
2024-10-09,수,점심(11-14시),카라멜마끼아또,커피,ICED,5800,가을,흐림,-
2024-03-26,화,점심(11-14시),카라멜마끼아또,커피,ICED,6800,봄,비,-
2024-04-28,일,오후(14-17시),얼그레이,차,HOT,5500,봄,흐림,-
2024-03-03,일,오후(14-17시),아메리카노,커피,HOT,4500,봄,맑음,-
2024-09-01,일,오후(14-17시),치즈케이크,디저트,-,6500,가을,흐림,-
2024-12-08,일,점심(11-14시),카라멜마끼아또,커피,HOT,6800,겨울,맑음,-
2024-11-13,수,점심(11-14시),망고스무디,논커피,ICED,6500,가을,흐림,-
2024-09-17,화,점심(11-14시),카페라떼,커피,HOT,5500,가을,맑음,-
2024-01-13,토,저녁(17-20시),바닐라라떼,커피,HOT,5500,겨울,맑음,-
2024-11-13,수,아침(09-11시),카라멜마끼아또,커피,HOT,6300,가을,흐림,-
2024-06-23,일,점심(11-14시),마카롱,디저트,-,3500,여름,흐림,-
2024-12-29,일,아침(09-11시),녹차라떼,논커피,HOT,5500,겨울,비,-
2024-09-07,토,오후(14-17시),치즈케이크,디저트,-,6500,가을,비,-
2024-07-10,수,저녁(17-20시),카페라떼,커피,ICED,5000,여름,맑음,-
2024-09-14,토,아침(09-11시),아메리카노,커피,HOT,4500,가을,맑음,-
2024-08-31,토,아침(09-11시),카푸치노,커피,ICED,5500,여름,맑음,-
2024-08-04,일,오후(14-17시),마카롱,디저트,-,4000,여름,맑음,-
2024-01-20,토,저녁(17-20시),망고스무디,논커피,ICED,6500,겨울,맑음,-
2024-07-27,토,점심(11-14시),아메리카노,커피,ICED,4500,여름,맑음,-
2024-11-10,일,아침(09-11시),아메리카노,커피,ICED,4500,가을,맑음,-
2024-07-03,수,오후(14-17시),카페라떼,커피,ICED,5500,여름,맑음,-
2024-02-06,화,아침(09-11시),얼그레이,차,HOT,4500,겨울,맑음,-
2024-03-18,월,아침(09-11시),초콜릿라떼,논커피,HOT,5800,봄,흐림,-
2024-09-28,토,아침(09-11시),딸기스무디,논커피,ICED,6500,가을,맑음,-
2024-09-22,일,저녁(17-20시),바닐라라떼,커피,HOT,5500,가을,비,-
2024-07-21,일,점심(11-14시),아메리카노,커피,ICED,4500,여름,맑음,-
2024-09-20,금,점심(11-14시),아메리카노,커피,HOT,5000,가을,흐림,-
2024-11-04,월,아침(09-11시),아메리카노,커피,ICED,4500,가을,맑음,-
2024-03-26,화,아침(09-11시),바닐라라떼,커피,ICED,6000,봄,비,-
2024-03-20,수,밤(20-22시),바닐라라떼,커피,HOT,5500,봄,맑음,-
2024-10-08,화,점심(11-14시),치즈케이크,디저트,-,7500,가을,비,-
2024-06-14,금,아침(09-11시),카푸치노,커피,HOT,5500,여름,흐림,-
2024-08-27,화,오후(14-17시),카푸치노,커피,ICED,5000,여름,맑음,-
2024-11-08,금,점심(11-14시),카라멜마끼아또,커피,ICED,5800,가을,맑음,-
2024-09-06,금,아침(09-11시),아메리카노,커피,HOT,5000,가을,맑음,-
2024-04-13,토,점심(11-14시),카푸치노,커피,ICED,5000,봄,맑음,-
2024-01-10,수,저녁(17-20시),카페라떼,커피,HOT,5500,겨울,눈,-
2024-09-28,토,밤(20-22시),아메리카노,커피,ICED,4500,가을,맑음,-
2024-08-25,일,오후(14-17시),아메리카노,커피,ICED,4500,여름,맑음,-
2024-03-20,수,아침(09-11시),크로와상,디저트,-,4300,봄,맑음,-
2024-06-11,화,점심(11-14시),카푸치노,커피,ICED,6000,여름,맑음,-
2024-06-23,일,점심(11-14시),카푸치노,커피,ICED,5500,여름,흐림,-
2024-01-15,월,점심(11-14시),아메리카노,커피,HOT,5000,겨울,맑음,-
2024-08-15,목,오후(14-17시),카페라떼,커피,ICED,5000,여름,비,-
2024-12-27,금,점심(11-14시),바닐라라떼,커피,HOT,5500,겨울,맑음,-
2024-02-24,토,오후(14-17시),아메리카노,커피,HOT,4500,겨울,흐림,-
2024-07-07,일,저녁(17-20시),카페라떼,커피,ICED,5000,여름,흐림,-
2024-09-06,금,점심(11-14시),카페라떼,커피,ICED,5000,가을,맑음,-
2024-02-18,일,점심(11-14시),카페라떼,커피,ICED,5000,겨울,맑음,-
2024-07-05,금,점심(11-14시),딸기스무디,논커피,ICED,6500,여름,흐림,-
2024-03-27,수,저녁(17-20시),아메리카노,커피,ICED,5500,봄,맑음,-
2024-11-22,금,아침(09-11시),바닐라라떼,커피,ICED,6000,가을,흐림,-
2024-03-27,수,아침(09-11시),카페라떼,커피,HOT,5000,봄,맑음,-
2024-04-21,일,저녁(17-20시),카페라떼,커피,HOT,5000,봄,맑음,-
2024-05-17,금,점심(11-14시),얼그레이,차,ICED,5000,봄,맑음,-
2024-02-11,일,저녁(17-20시),치즈케이크,디저트,-,6500,겨울,흐림,-
2024-05-15,수,점심(11-14시),카페라떼,커피,ICED,5000,봄,맑음,-
2024-08-15,목,아침(09-11시),바닐라라떼,커피,HOT,6500,여름,비,-
2024-03-23,토,오후(14-17시),아메리카노,커피,ICED,4500,봄,맑음,-
2024-07-07,일,점심(11-14시),아메리카노,커피,ICED,4500,여름,흐림,-
2024-06-16,일,점심(11-14시),카푸치노,커피,ICED,5000,여름,맑음,-
2024-08-22,목,점심(11-14시),크로와상,디저트,-,4300,여름,맑음,-
2024-11-23,토,아침(09-11시),바닐라라떼,커피,ICED,5500,가을,맑음,-
2024-06-16,일,저녁(17-20시),아메리카노,커피,ICED,4500,여름,맑음,-
2024-03-01,금,점심(11-14시),아메리카노,커피,ICED,4500,봄,흐림,-
2024-06-25,화,점심(11-14시),아메리카노,커피,ICED,4500,여름,맑음,-
2024-11-30,토,저녁(17-20시),녹차라떼,논커피,ICED,5500,가을,흐림,-
2024-06-01,토,밤(20-22시),카페라떼,커피,ICED,5000,여름,맑음,-
2024-09-21,토,오후(14-17시),초콜릿라떼,논커피,ICED,5800,가을,맑음,-
2024-02-05,월,저녁(17-20시),카페라떼,커피,HOT,5000,겨울,맑음,-
2024-03-26,화,오후(14-17시),딸기스무디,논커피,ICED,6500,봄,비,-
2024-01-07,일,저녁(17-20시),치즈케이크,디저트,-,6500,겨울,흐림,-
2024-10-10,목,오후(14-17시),초콜릿라떼,논커피,HOT,6300,가을,맑음,-
2024-06-30,일,오후(14-17시),아메리카노,커피,ICED,4500,여름,흐림,-
2024-03-13,수,밤(20-22시),아메리카노,커피,ICED,5000,봄,흐림,-
2024-03-08,금,아침(09-11시),딸기스무디,논커피,ICED,6500,봄,비,-
2024-06-18,화,점심(11-14시),카페라떼,커피,ICED,6000,여름,맑음,-
2024-10-26,토,밤(20-22시),치즈케이크,디저트,-,6500,가을,맑음,-
2024-06-01,토,오후(14-17시),아메리카노,커피,HOT,4500,여름,맑음,-
2024-05-05,일,아침(09-11시),크로와상,디저트,-,3800,봄,흐림,-
2024-06-29,토,오후(14-17시),카페라떼,커피,ICED,5000,여름,맑음,-
2024-12-08,일,점심(11-14시),카푸치노,커피,HOT,5500,겨울,맑음,-
